ID,Eclipse Duration (m)
1,288.49451768837173
2,163.52398112028746
3,189.10052222108914
4,131.50657059122628
5,235.41971481508398
6,233.14492124158883
7,298.07024204882987
8,247.09784893216369
9,249.10169095714318
10,243.96219525713414
11,226.92404133719782
12,240.15909208158087
13,198.29348362179994
14,204.74585077756151
15,92.70647527309666
16,279.4680446571496
17,303.05226332880176
18,280.95590512746287
19,250.54639650694406
20,248.0451502929247
21,270.1861889105609
22,260.18898085028184
23,189.91204387311535
24,277.11970448375075
25,212.37614375465142
26,308.1660959025619
27,268.03667734559065
28,233.5551761195833
29,252.47595835995827
30,171.3207007410298
31,262.0630265940677
32,202.19558719440846
33,193.42998932571166
34,239.8637549121858
35,278.55028621600025
36,276.7632961339908
37,245.45956087747237
38,280.58295878997876
39,217.83618164725877
40,192.20082164797049
41,217.3458611133543
42,217.36859000369122
43,192.54649173368554
44,202.3114634234011
45,268.86885964267606
46,289.70835274805495
47,200.14608388966275
48,213.52283651495895
49,241.553553402564
50,293.63194465270664
51,264.1366682537973
52,243.2180570460764
53,259.42488209841616
54,268.0635838757192
55,246.02963385971807
56,205.34704008900817
57,253.85184166183075
58,79.22501728885004
59,284.75224329401146
60,272.85402462158515
61,277.39257542384786
62,262.84403090495357
63,242.67138432539986
64,270.5516462797704
65,191.42476377835578
66,275.2022841319505
67,200.66273472576822
68,296.1437649975579
69,262.95462852970707
70,243.0364230839028
71,263.0409161871237
72,172.0152204414866
73,245.19250369901047
74,214.82838410192775
75,211.0387160903264
76,211.71908080016465
77,281.5460863453959
78,257.7033592767513
79,252.51018635483697
80,273.6972180699246
81,218.60294077023454
82,216.12883638439843
83,233.38440766057911
84,193.20369871823127
85,201.2654878166831
86,203.67868370152468
87,267.58905235198944
88,275.2792455139578
89,216.18715659052222
90,197.10284391303344
91,223.6907774267808
92,297.96833876441696
93,266.91061908894915
94,252.7589737246658
95,268.75853968031413
96,259.5253005608489
97,244.64109198893235
98,239.72149475745601
99,242.24053120850695
100,179.87259122683457
101,274.6472872143986
102,267.7209396011482
103,276.941498809274
104,255.89225985568223
105,240.09661378647957
106,240.2518274250618
107,193.8089237727872
108,267.53837079064454
109,202.32780037324707
110,297.9921218805661
111,257.19870519580314
112,244.59218389007756
113,258.97215615252134
114,187.65807244698462
115,217.691346750867
116,227.6094301273776
117,215.52709323756304
118,290.0164962226152
119,256.936518015263
120,250.3198540320183
121,269.7832408687384
122,210.71073493091768
123,192.053027201348
124,191.45864972178362
125,198.06034728303902
126,198.3110323716459
127,241.3802064856108
128,264.29842560134387
129,279.55252547694005
130,227.7192992913147
131,190.40042915333774
132,211.6322875695089
133,280.552848706966
134,262.62031799544354
135,301.24706217297796
136,292.16388614353787
137,267.48438884537774
138,229.78161287291908
139,244.35148016101385
140,220.82720055643682
141,278.2888478092049
142,268.471985087527
143,277.67002345972463
144,252.71922767683208
145,241.21684130249272
146,228.92044975497714
147,200.34060672200565
148,229.39035377764054
149,137.57994557889072
150,206.77732121185272
151,299.7867523112012
152,255.198704545405
153,250.77764297884087
154,259.3513587365888
155,203.41018991735186
156,211.63046052112742
157,212.23873634880334
158,210.40146650602492
159,305.92750045278217
160,268.84945229950443
161,250.7230685154368
162,293.4421771403555
163,189.2512986653603
164,159.91720183906352
165,205.83817447566634
166,199.3245113782826
167,194.04052749782142
168,250.43466024718646
169,254.91397369205566
170,277.7723525675307
171,198.1458140564041
172,194.50429887322036
173,198.83924766309465
174,263.17718014839954
175,264.2853533776046
176,299.17223483753446
177,279.99899631168057
178,278.8800407265761
179,234.84880252972275
180,239.00079280473884
181,211.6869366506424
182,277.72841888900496
183,273.5110275784708
184,272.49111647664813
185,255.48329989068185
186,233.17895511412476
187,223.44152202624508
188,208.63914942177934
189,235.63405406686675
190,77.83148479292012
191,209.01186729967694
192,297.46560453994107
193,252.27345290216286
194,251.73219096552916
195,247.91623472225115
196,214.75500090584538
197,204.57249617762062
198,211.4132141454551
199,219.52229055634092
200,298.7366028784678
201,265.9893881005502
202,256.0624154557613
203,304.59670754154706
204,194.15724604933692
205,190.00930152544333
206,191.12253498480203
207,207.8082476087392
208,199.2698960291506
209,250.28411793316127
210,263.8239876081471
211,279.50406475395414
212,245.66078941544703
213,188.22700050743106
214,214.78962832119223
215,210.65390640085835
216,261.92874180472916
217,291.5123701390645
218,293.8075672681762
219,282.62340617002894
220,159.16172555066436
221,217.18541883415145
222,235.30792044374684
223,268.8994000769721
224,277.67314390749107
225,278.36354614287904
226,245.32657964392456
227,226.55254820982842
228,204.56682349485433
229,207.28874740791343
230,224.75931090115319
231,74.73913835570974
232,207.47220593397532
233,295.87070291191947
234,252.46878693063098
235,255.5704113157044
236,248.0712718007748
237,205.08548611898556
238,209.20614166235873
239,240.4846998237124
240,203.5922825944908
241,270.5337786299105
242,259.17495630704144
243,253.19934390921625
244,302.74178515177584
245,199.60084249334832
246,161.80160152348623
247,210.75862614054523
248,218.08433773488133
249,215.6019393813615
250,248.282351762229
251,240.83162754498807
252,286.35437902402816
253,288.54267720376197
254,202.00419874605558
255,207.6171433746491
256,203.29902428439632
257,268.4076614893475
258,309.73219578570183
259,252.71306386709625
260,282.5024664744647
261,199.5469566993433
262,237.80953379332777
263,272.61109974309204
264,245.71415017784466
265,275.1582360938678
266,256.9843756791845
267,232.86404100432674
268,205.22936074228573
269,205.15616285145128
270,186.4614667022966
271,174.45906044012017
272,208.64998837397906
273,278.45126345570117
274,251.09362199284084
275,257.7003456801535
276,254.34878628633132
277,237.55498497461912
278,222.33241271287488
279,224.84616311851195
280,213.03463550987917
281,292.9735448140809
282,261.7109021887367
283,253.4841399190872
284,297.9946942655027
285,203.1001485834977
286,226.26242650569165
287,208.91256082591508
288,210.82612079697827
289,210.9639186459221
290,257.8610367146727
291,267.0761797640421
292,280.671013676341
293,280.04429924461783
294,195.92311480320967
295,179.10352851425964
296,202.5173402780229
297,275.07596214097134
298,292.7675392899053
299,254.80431283187968
300,278.82928902580454
301,199.47588131806782
302,220.76992435988214
